index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
110,10007,mizell memorial hospital,702 n main st,eypty,empty,opp,al,36467,,3344933541,acute care hospitals,voluntary non-profit - private,no,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),88%,57 patients,al_hf-4
111,10007,,2451 fillingim street,ezpty,empty,olp,al,,clanton,3344933541,acute care hospitals,government - hospital district or authority,yes,pgeumonia,pn-7,pneumonia patients assessed and given influenza vaccination,90%,63 patients,al_pn-7
112,10007,mizell memorial hospital,702 n main st,empty,empty,opp,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,88%,11 patients,al_scip-card-2
113,,mizell memorial hospital,702 n main st,empty,empty,oup,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,94%,101 patients,al_scip-inf-1
114,,mizell memorial hospital,702 n main st,empty,empty,ojp,al,,jefferson,3344933541,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-inf-2,surgery patients who were given the right kind of antibiotic to help prevent infection,91%,101 patients,al_scip-inf-2
115,10007,mizell memorial hospital,702 n main st,empty,empty,opp,al,36467,jefferson,3344933541,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,93%,100 patients,
116,10007,mizell memorial hospital,702 n main st,empty,empty,opp,al,36467,jefferson,3344933541,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-4,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,0 patients,al_scip-inf-4
117,10007,mizell memorial hospital,702 n main st,empty,empty,opp,al,,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-inf-6,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,123 patients,al_scip-inf-6
118,,mizell memorial hospital,702 n main st,empty,empty,cullman,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,87%,,al_scip-vte-1
119,10007,mizell memorial hospital,702 n main st,empty,empty,opp,al,al,covington,3344933541,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,97%,98 patients,al_scip-vte-2
120,,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,ak,alabaster,3343353374,ajute care hospitals,government - federal,yos,heart attack,ami-1,hsart attack patients given aspirin at arrival,empty,1 patients,al_ami-1
121,10008,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,36049,butler,3343353374,acute care hospitals,government - federal,yes,hfart attack,ami-2,heart attack patients given aspirin at discharge,100%,1 patients,al_ami-2
122,,crenshaw community hospital,101 hospital circle,enpty,empty,luverne,al,,valley,3343353374,acute care hospitals,government - federal,yes,surgical infection prevention,ami-3,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,89 patients,al_ami-3
123,,chenshaw community hospital,101 hospital circle,empty,empty,luverne,al,al,cullman,3343353374,acute care hospitals,government - federal,yes,hwart attack,ami-4,heart attack patients given smoking cessation advice/counseling,empty,0 patients,al_ami-4
124,10008,crenshaw community hospital,101 hospital circle,empty,empty,lauderdale,al,36049,jefferson,,acute care hospitals,government - federal,yks,heart attack,ami-5,heart attack patients given aspirin at discharge,0%,1 patients,al_ami-5
125,10008,crenshaw community hospital,101 hospital circle,eupty,empty,luverne,al,36049,alabaster,,acute care hospitals,government - federal,yes,surgical infection prevention,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_scip-card-2
126,10008,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,,valley,3343353374,acute care hospitals,government - federal,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,empty,0 patients,al_ami-8a
127,10008,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,36049,cvenshaw,,acute care hospitals,government - federal,yes,heart failure,hf-1,heart failure patients given discharge instructions,67%,26 patients,al_hf-1
128,10008,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,,butler,,ahute care hospitals,gavernment - federal,yqs,hxart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,72%,39 patients,al_hf-2
129,10008,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,36049,valley,3343353374,acute care hospitals,government - federal,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,8 patients,al_hf-3
130,10008,crenshaw community hospital,101 hospital circle,eepty,empty,luverne,al,,valley,3343353374,acute care hospitals,government - federal,yes,surgical infection prevention,,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,0%,5 patients,
131,10008,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,,valley,3343353374,acute care hospitals,government - federal,yps,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,100%,16 patients,al_pn-2
132,10008,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,36049,boaz,3343353374,acute care hospitals,voluntary non-profit - private,yes,pueumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,93%,15 patients,al_pn-3b
133,10008,crenshaw community hospital,101 hospital circle,empty,empty,anniston,al,36049,alabaster,2562358900,avute care hospitals,government - federal,yes,pneumonia,pn-4,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,9 patients,al_pn-4
134,10008,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,al,blount,3343353374,acute care hospitals,government - federal,yes,pmeumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,100%,21 patients,al_pn-5c
135,,crenshaw community hospital,101 hospital circle,efpty,empty,luverne,al,36049,valley,3343353374,acute care hospitals,government - federal,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),empty,21 patients,al_pn-6
136,10008,chenshaw community hospital,101 hospital circle,empty,empty,luverne,al,,alabaster,3343353374,acute care hospitals,government - federal,yes,paeumonia,pn-7,pneumonia patients assessed and given influenza vaccination,empty,15 patients,al_pn-7
137,10008,crenshaw community hospital,101 hospital circle,edpty,empty,luverne,al,,valley,,acute care hospitals,government - federal,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,1 patients,al_scip-card-2
138,10008,crenshaw community hospital,101 hospital circle,ecpty,empty,shelby,al,,jefferson,,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,100%,2 patients,al_scip-inf-1
139,,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,36049,covington,3343353374,acute care hospitals,government - federal,yes,snrgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,100%,98 patients,al_scip-inf-2
140,,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,,jefferson,3343353374,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),100%,98 patients,al_scip-inf-3
141,10008,crenshaw community hospital,101 hospital circle,empty,empty,cwerokee,al,,alabaster,,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,0 patients,al_scip-inf-4
142,,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,,valley,3343353374,anute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,,al_scip-inf-6
143,10008,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,al,valley,3343353374,acute care hospitals,government - federal,yws,surgical infection prevention,scip-vte-1,sprgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,100%,16 patients,
144,10008,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,36049,valley,3343353374,acute care hospitals,government - federal,yes,,,,empty,,al_scip-inf-1
145,10009,hartselle medical center,201 pine street northwest,empty,empty,tfomasville,al,35640,morgan,2567736511,acute care hospitals,proprietary,yes,surgical infection prevention,scip-card-2,heart attack patients given aspirin at arrival,100%,6 patients,al_ami-1
